Site	Sample	N	E	Salinity	ID	N_dots	L
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	10
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	12
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	12
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	10
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	9
Marchekan I	Mar_3	59.5411507	150.7803449	31	NA	NA	9
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	30
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	34
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	32
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	27
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	25
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	23
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	29
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	23
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	23
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	25
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	26
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	25
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	27
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	23
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	23
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	12
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	7
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	8
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	10
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	9
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	9
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	10
Marchekan I	Mar_1	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	33
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	30
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	31
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	27
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	35
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	25
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	25
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	33
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	23
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	30
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	27
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	26
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	23
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	30
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	24
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	20
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	22
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	17
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	21
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	10
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	19
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	12
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	10
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	8
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	19
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	19
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	12
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	9
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	9
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	18
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	10
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	10
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	12
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	9
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	14
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	12
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	15
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	11
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	6
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	16
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	13
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	7
Marchekan I	Mar_2	59.5411507	150.7803449	31	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	31
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	30
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	30
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	23
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	26
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	15
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	30
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	25
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	19
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	9
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	31
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	30
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	31
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	30
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	24
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	24
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	13
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	23
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	26
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	30
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	21
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	28
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	29
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	24
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	24
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	26
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	23
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	21
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	18
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	30
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	17
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	24
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	21
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	13
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	13
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	21
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	19
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	20
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	20
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	16
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	17
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	18
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	18
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	18
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	13
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	20
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	15
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	16
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	13
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	21
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	12
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	11
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	14
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	10
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	1
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
Mamont	Mam_1	59.563192	150.769422	30	NA	NA	2
